PUENU	2,706	1,538	3,199
OTIUJ	1,175	4,116	4,482
UFJJW	3,667	4,870	4,450
BOTNF	1,830	2,703	2,369
PTRIX	3,621	4,350	2,961
GDYLB	3,495	2,381	4,938
FGXDS	2,985	3,287	2,967
ORDPH	2,111	3,881	1,397
SNVNC	3,568	2,876	1,244
YBRAB	4,399	4,443	1,320
FRPUF	2,366	4,468	4,353
VPWBP	2,566	1,743	1,434
KFEQG	1,103	3,220	4,416
LUXON	2,754	3,946	1,614
TDIMV	3,991	3,194	2,588
JVGQV	2,528	4,163	1,980
KSQCO	2,761	1,385	1,527
UMDQM	1,728	4,911	4,770
WYUJI	1,860	3,961	1,167
FCWUF	4,538	2,727	3,801
TNPGK	1,537	4,998	1,693
OHDVF	1,825	2,231	4,803
DFUHD	1,468	3,337	2,715
JRCIB	2,422	2,319	3,655
FODWT	3,282	3,234	3,598
YVKGS	2,669	4,682	1,372
NDFLI	1,840	2,207	3,878
IMQTC	3,233	3,763	3,364
WRLYU	1,225	2,401	2,579
LKXVB	2,559	1,429	4,931
JCTHD	3,987	2,920	3,900
PYTCN	2,304	4,785	4,208
FMCAW	3,893	3,487	3,252
QBIRD	2,346	4,421	2,199
SDXRY	2,989	2,379	1,636
STSHE	2,419	1,894	1,775
IBEPS	2,545	2,396	2,179
ULJSR	1,959	1,467	2,576
ULDCC	3,557	1,176	1,714
DDVLG	3,347	3,347	2,465
ABFPV	3,601	1,707	2,101
IYKAO	1,539	3,838	4,950
FJVMK	2,773	1,954	1,725
PWJLS	1,372	2,327	1,679
SNGJH	1,910	4,460	4,852
KMGXS	4,961	1,892	4,252
ILFPA	3,705	4,561	2,476
RTSKX	4,437	1,381	3,325
JINSQ	3,519	4,234	3,290
JPVMR	2,235	2,918	1,572
GSUCX	2,319	1,482	2,477
RCFBE	4,594	2,349	4,996
VBBLN	3,926	2,959	1,352
DNQSW	2,928	4,485	1,856
IFMBF	4,582	4,486	1,796
YPKTL	3,981	3,176	3,575
VQOJX	3,714	2,822	3,153
ECLCD	2,916	1,426	2,347
NSCPV	4,567	3,176	4,889
QQWYL	3,355	2,427	4,184
LIDHO	4,535	2,225	1,212
HVGPO	4,258	3,369	2,750
FPQDM	4,117	4,250	3,695
MMDDO	2,685	1,149	4,432
NHLSR	1,668	3,715	3,141
FNQIB	1,435	3,686	3,565
HHPUW	4,177	4,404	1,912
QEAAE	4,764	3,507	4,146
WDMVE	4,563	3,172	1,486
LHYQG	4,663	2,106	2,968
YPJKH	3,544	3,481	3,625
GWPUO	2,517	2,166	4,144
ROKEX	4,362	4,934	4,546
TLDTT	1,514	2,923	2,851
FAVRM	1,149	4,592	2,436
UINYN	4,388	2,588	4,650
OPJTQ	4,389	2,945	3,800
CXAEI	1,544	1,212	1,579
HWECW	3,296	2,667	3,213
FICXX	3,910	3,703	4,952
YYJCT	2,490	2,167	1,549
PODWV	1,729	1,992	1,478
LUMBR	1,240	4,721	4,658
KOVKI	1,730	3,969	2,212
CQXMG	1,840	3,280	2,496
DBIEF	3,339	1,481	4,555
GJMHH	4,365	4,699	3,983
VMVSN	4,151	4,767	2,869
CNTAV	3,772	3,593	3,272
RPXMH	3,956	3,164	3,996
WOOSP	2,236	2,876	4,841
YXWCC	2,115	2,748	4,826
JYHDC	3,360	1,618	1,377
AFCYR	3,107	2,514	1,112
BXJFB	2,939	1,314	4,175
ULGUV	1,874	4,939	1,886
LNVQU	4,795	1,963	2,316
PEXMG	4,521	1,208	4,328
KUBQK	4,420	2,830	4,389
SFTVJ	4,173	1,359	2,852
